#begin_instance_info
family	antwerp
ID	2_training_20
level_of_number_of_sensors	low
level_for_selecting_services	low
fog_to_fog_network_connection_density_level	low
fog_to_cloud_network_connection_density_level	low
sensors	20
fog_nodes	10
cloud_nodes	3
services	3
#end_instance_info
#begin_sensors
0	51.270634734674246	4.3852759476408725	waste
1	51.25789794304034	4.394730345883559	waste	air
2	51.261926695170814	4.387481719657993	waste	waste
3	51.25049868841767	4.385249367621146	air
4	51.21255406775734	4.3908256484632755	waste	waste
5	51.2181842025825	4.4034988974531455	camera	waste
6	51.21674254431702	4.401830484284096	air	waste
7	51.207885204786564	4.390470755298484	camera
8	51.21274300082704	4.415958045786173	waste
9	51.213183149227866	4.415058266262357	waste	waste
10	51.21283723520367	4.417503927775233	waste	camera
11	51.205903219372246	4.412826290549151	waste	waste
12	51.209726836410056	4.4769500100374024	camera
13	51.20061555311256	4.462055228924624	camera	waste
14	51.20781770009314	4.45607024718067	waste
15	51.1799321673301	4.458406398319257	camera
16	51.17414391819198	4.410041805164584	camera	waste
17	51.174696437600105	4.4061030312525595	camera	waste
18	51.17958708739728	4.407030081677236	waste
19	51.18122130820856	4.411102096383591	camera
#end_sensors
#begin_fog
0	51.272003952619265	4.394728480676067	16	256	1.4094	HX-CPU-I4314
1	51.270528816719356	4.374446900573767	16	256	1.4094	HX-CPU-I4314
2	51.21317780665102	4.4029176520867335	16	256	1.4094	HX-CPU-I4314
3	51.22315628596328	4.3989982521917	16	256	1.4094	HX-CPU-I4314
4	51.20561672886091	4.416221895563744	8	256	1.0962	HX-CPU-I4309Y
5	51.212403154291735	4.4207226769673875	8	256	1.0962	HX-CPU-I4309Y
6	51.19340658762809	4.4641894406434695	16	256	1.4094	HX-CPU-I4314
7	51.20135759350925	4.454783679818405	16	256	1.4094	HX-CPU-I4314
8	51.18461189060425	4.409837088103031	8	256	1.0962	HX-CPU-I4309Y
9	51.18193893571136	4.403610707589632	16	256	1.4094	HX-CPU-I4314
9
0	0	1	1	0.078	2261.131264247982
1	2	3	2	0.064	1189.0343397451159
2	4	5	2	0.046	903.6204434315163
3	6	7	2	0.078	1367.763727279901
4	8	9	2	0.064	753.0969084120379
5	3	9	3	0.046	4598.336505760472
6	0	8	3	0.046	9833.457050243966
7	1	4	2	0.064	8565.605323127404
8	4	6	1	0.064	5502.833851584604
#end_fog
#begin_reach_fog_nodes
0	0	0	0.01	0.046	1061.9793941355076
1	0	1	0.01	0.046	1204.1923545141228
2	1	0	0.01	0.046	1563.9049696504203
3	1	1	0.01	0.0092	2654.799912139702
4	2	0	0.01	0.046	1377.5223248077552
5	2	1	0.01	0.0092	1735.0372170232304
6	3	0	0.01	0.046	2606.8518115356715
7	3	1	0.01	0.046	2524.7846917742663
8	4	2	0.01	0.046	1346.3465702344752
9	4	3	0.01	0.0092	1485.7672961886062
10	4	4	0.01	0.0092	2926.7981612156414
11	5	2	0.01	0.046	558.7930602299224
12	5	3	0.01	0.0092	744.5231646051831
13	5	4	0.01	0.0092	1985.638476147942
14	5	5	0.01	0.046	2019.5928686292389
15	6	2	0.01	0.046	413.2864998160259
16	6	3	0.01	0.046	777.6927053336252
17	6	4	0.01	0.046	2020.460876719161
18	6	5	0.01	0.046	2155.0995382262595
19	7	2	0.01	0.0092	1503.2807695216702
20	7	3	0.01	0.046	1940.5180778914373
21	7	4	0.01	0.046	2874.4197679943422
22	8	2	0.01	0.046	1450.8266720435952
23	8	3	0.01	0.0092	2211.1599796680466
24	8	4	0.01	0.046	790.5973331144049
25	8	5	0.01	0.046	531.140820993258
26	9	2	0.01	0.0092	1349.9748326180077
27	9	3	0.01	0.0092	2100.3783224966155
28	9	4	0.01	0.0092	848.7705373353514
29	9	5	0.01	0.046	635.7620931984347
30	10	2	0.01	0.046	1622.3592880777446
31	10	3	0.01	0.0092	2354.3769790556175
32	10	4	0.01	0.046	813.0935085739534
33	10	5	0.01	0.0092	361.12945174660086
34	11	2	0.01	0.046	1365.4272827912312
35	11	3	0.01	0.0092	2454.1761424842875
36	11	4	0.01	0.0092	378.9076067382628
37	11	5	0.01	0.046	1135.8849182989456
38	11	8	0.01	0.0092	2383.7612431568286
39	11	9	0.01	0.0092	2847.5913568128926
40	12	6	0.01	0.046	2299.2475304016994
41	12	7	0.01	0.046	2633.620192525196
42	13	6	0.01	0.046	833.6604897997273
43	13	7	0.01	0.046	812.7331665616828
44	14	6	0.01	0.046	1835.0381507451154
45	14	7	0.01	0.0092	730.3093284846102
46	15	6	0.01	0.0092	1626.2805683020424
47	15	7	0.01	0.0092	2409.1126728765394
48	16	8	0.01	0.046	1160.762589020217
49	16	9	0.01	0.0092	1121.705906783679
50	17	8	0.01	0.0092	1175.086942016036
51	17	9	0.01	0.0092	849.4305743402457
52	18	8	0.01	0.0092	638.5605692795675
53	18	9	0.01	0.046	461.0323960861808
54	19	4	0.01	0.0092	2763.8690425241975
55	19	8	0.01	0.0092	401.3553055929292
56	19	9	0.01	0.0092	836.7952321119067
#end_reach_fog_nodes
#begin_cloud
